Gene Start (bp),Gene End (bp),Chromosome Name,HGNC symbol,
106357557,106357577,14,IGHD6-19,
106359400,106359419,14,IGHD5-18,
106360366,106360381,14,IGHD4-17,
106361492,106361528,14,IGHD3-16,
106363815,106363845,14,IGHD2-15,
106366496,106366512,14,IGHD1-14,
106367000,106367020,14,IGHD6-13,
106368507,106368529,14,IGHD5-12,
106369474,106369489,14,IGHD4-11,
106370355,106370385,14,IGHD3-10,
106370539,106370569,14,IGHD3-9,
106373069,106373099,14,IGHD2-8,
106375766,106375782,14,IGHD1-7,
106376269,106376286,14,IGHD6-6,
106378116,106378135,14,IGHD5-5,
106379081,106379096,14,IGHD4-4,
106380218,106380248,14,IGHD3-3,
106382685,106382715,14,IGHD2-2,
106385361,106385377,14,IGHD1-1,
106405611,106406108,14,IGHV6-1,
106411066,106411245,14,IGHVII-1-1,
106452671,106453170,14,IGHV1-2,
106467677,106467967,14,IGHVIII-2-1,
106471246,106471723,14,IGHV1-3,
106478110,106478603,14,IGHV4-4,
106494135,106494597,14,IGHV2-5,
106495898,106495996,14,IGHVIII-5-1,
106501831,106502091,14,IGHVIII-5-2,
106511782,106512231,14,IGHV3-6,
106518400,106518932,14,IGHV3-7,
106539079,106539577,14,IGHV1-8,
106552285,106552809,14,IGHV3-9,
106559546,106559975,14,IGHV2-10,
106573233,106573800,14,IGHV3-11,
106576803,106577069,14,IGHVIII-11-1,
106579014,106579303,14,IGHV1-12,
106586137,106586667,14,IGHV3-13,
106598995,106599285,14,IGHVIII-13-1,
106602580,106602820,14,IGHV1-14,
106610313,106610852,14,IGHV3-15,
106620270,106620489,14,IGHVII-15-1,
106621894,106622419,14,IGHV3-16,
106627589,106627721,14,IGHVIII-16-1,
106631031,106631449,14,IGHV1-17,
106641563,106642056,14,IGHV1-18,
106653371,106653661,14,IGHV3-19,
106667581,106668095,14,IGHV3-20,
106669468,106669951,14,IGHVII-20-1,
106691673,106692203,14,IGHV3-21,
106714360,106714821,14,IGHV3-22,
106719955,106720219,14,IGHVII-22-1,
106721281,106721308,14,IGHVIII-22-2,
106725201,106725733,14,IGHV3-23,
106733144,106733639,14,IGHV1-24,
106745623,106746073,14,IGHV3-25,
106750162,106750402,14,IGHVIII-25-1,
106757650,106758116,14,IGHV2-26,
106765678,106765927,14,IGHVIII-26-1,
106770914,106771238,14,IGHVII-26-2,
106774086,106774499,14,IGHV7-27,
106780513,106781017,14,IGHV4-28,
106785676,106785916,14,IGHVII-28-1,
106787368,106787804,14,IGHV3-29,
106791005,106791536,14,IGHV3-30,
106798646,106798877,14,IGHVII-30-1,
106800319,106800757,14,IGHV3-30-2,
106805209,106805716,14,IGHV4-31,
106810597,106810633,14,IGHVII-31-1,
106812091,106812517,14,IGHV3-32,
106815722,106816253,14,IGHV3-33,
106823315,106823594,14,IGHVII-33-1,
106825038,106825477,14,IGHV3-33-2,
106829594,106830076,14,IGHV4-34,
106833231,106833664,14,IGHV7-34-1,
106845323,106845789,14,IGHV3-35,
106848685,106849142,14,IGHV3-36,
106852588,106853026,14,IGHV3-37,
106866406,106866934,14,IGHV3-38,
106873942,106873995,14,IGHVIII-38-1,
106877619,106878126,14,IGHV4-39,
106881270,106881468,14,IGHV7-40,
106896861,106896918,14,IGHVII-40-1,
106899044,106899493,14,IGHV3-41,
106919183,106919483,14,IGHV3-42,
106926188,106926724,14,IGHV3-43,
106928717,106928888,14,IGHVII-43-1,
106934226,106934399,14,IGHVIII-44,
106945352,106945763,14,IGHVIV-44-1,
106950148,106950397,14,IGHVII-44-2,
106962931,106963424,14,IGHV1-45,
106967049,106967788,14,IGHV1-46,
106971752,106971788,14,IGHVII-46-1,
106974509,106974954,14,IGHV3-47,
106987143,106987473,14,IGHVIII-47-1,
106993814,106994346,14,IGHV3-48,
107012938,107013477,14,IGHV3-49,
107020363,107020586,14,IGHVII-49-1,
107022105,107022543,14,IGHV3-50,
107034729,107035221,14,IGHV5-51,
7567398,7569288,Y,TTTY16,
7581026,7644748,Y,RFTN1P1,
107039493,107039794,14,IGHVIII-51-1,
107040702,107040960,14,IGHVII-51-2,
29865828,29866194,HSCHR6_MHC_COX,,
107042360,107042810,14,IGHV3-52,
30423833,30425362,HSCHR6_MHC_QBL,TMPOP1,
107048672,107049341,14,IGHV3-53,
29867067,29867931,HSCHR6_MHC_COX,,
29885238,29886228,HSCHR6_MHC_COX,HCG4P6,
107055682,107055936,14,IGHVII-53-1,
7610636,7690901,Y,,
107057358,107057795,14,IGHV3-54,
30426181,30427550,HSCHR6_MHC_QBL,,
107062111,107062561,14,IGHV4-55,
29885712,29888489,HSCHR6_MHC_COX,,
107065772,107066206,14,IGHV7-56,
107074907,107075186,14,IGHV3-57,
32824882,32825559,HSCHR6_MHC_DBB,,
107078373,107078869,14,IGHV1-58,
7672965,7678724,Y,TTTY12,
107081806,107083830,14,IGHV4-59,
30443238,30443888,HSCHR6_MHC_QBL,RANP1,
7721727,7722917,Y,ZNF92P1Y,
32842122,32842196,HSCHR6_MHC_DBB,,
30473552,30476506,HSCHR6_MHC_QBL,,
29891600,29891785,HSCHR6_MHC_COX,,
107087202,107087658,14,IGHV3-60,
33025170,33025579,HSCHR6_MHC_DBB,RPL32P1,
107093723,107093978,14,IGHVII-60-1,
30590916,30591185,HSCHR6_MHC_QBL,PTMAP1,
29899399,29900391,HSCHR6_MHC_COX,HCG4P5,
107095126,107095662,14,IGHV4-61,
33037464,33043006,HSCHR6_MHC_DBB,,
107099145,107099588,14,IGHV3-62,
7781463,7782131,Y,ZNF736P8Y,
7801038,7805681,Y,BPY2DP,
107106555,107106789,14,IGHVII-62-1,
30654118,30654847,HSCHR6_MHC_QBL,RPL7P4,
29913886,29915860,HSCHR6_MHC_COX,,
107108252,107108696,14,IGHV3-63,
7859028,7859847,Y,ZNF736P7Y,
107113741,107114274,14,IGHV3-64,
33049479,33049682,HSCHR6_MHC_DBB,COL11A2P,
30660380,30670495,HSCHR6_MHC_QBL,,
107122108,107122548,14,IGHV3-65,
33073504,33074770,HSCHR6_MHC_DBB,,
107127813,107128060,14,IGHVII-65-1,
29928092,29929754,HSCHR6_MHC_COX,MICD,
107131033,107131560,14,IGHV3-66,
30724117,30749533,HSCHR6_MHC_QBL,HCG20,
107136620,107137059,14,IGHV1-67,
7936937,7938764,Y,ZNF736P9Y,
107142534,107142579,14,IGHVII-67-1,
33076902,33089011,HSCHR6_MHC_DBB,,
107143130,107143217,14,IGHVIII-67-2,
33090473,33093457,HSCHR6_MHC_DBB,HCG24,
107148674,107148905,14,IGHVIII-67-3,
29932391,29935687,HSCHR6_MHC_COX,HCG9,
107151119,107151414,14,IGHVIII-67-4,
107159869,107160163,14,IGHV1-68,
7995171,8012244,Y,RBMY2JP,
107169931,107170428,14,IGHV1-69,
32595906,32596221,22,IGLCOR22-1,
33161392,33162015,HSCHR6_MHC_DBB,,
30755939,30787964,HSCHR6_MHC_QBL,,
107178820,107179338,14,IGHV2-70,
33183491,33185382,HSCHR6_MHC_DBB,,
107183396,107183857,14,IGHV3-71,
22350487,22351461,1,,
29950499,29950895,HSCHR6_MHC_COX,,
107198932,107199471,14,IGHV3-72,
30796824,30805462,HSCHR6_MHC_QBL,,
22351681,22357716,1,,
29951727,29952604,HSCHR6_MHC_COX,,
33195234,33200689,HSCHR6_MHC_DBB,HCG25,
107210932,107211471,14,IGHV3-73,
107218676,107219365,14,IGHV3-74,
22385690,22390692,1,,
30824355,30833288,HSCHR6_MHC_QBL,TIGD1L,
22649333,22649824,1,,
107229405,107229645,14,IGHVII-74-1,
29958301,30019319,HSCHR6_MHC_COX,,
22843967,22846201,1,,
107231917,107232377,14,IGHV3-75,
107236097,107236391,14,IGHV3-76,
23162206,23163342,1,,
107239994,107240279,14,IGHVIII-76-1,
23337327,23340538,1,,
107259338,107259632,14,IGHV5-78,
23346640,23414551,1,,
107273842,107274110,14,IGHVII-78-1,
23466818,23467635,1,,
107275873,107276304,14,IGHV3-79,
23571258,23571717,1,,
107281000,107281252,14,IGHV4-80,
23737325,23738645,1,,
107282792,107283280,14,IGHV7-81,
23875630,23877406,1,,
23996784,24006749,1,,
24032291,24033424,1,,
107287770,107288019,14,IGHVIII-82,
38279181,38289173,7,TRGC2,
24086872,24104777,1,,
30903331,30912213,HSCHR6_MHC_QBL,HCG21,
30987747,30992544,HSCHR6_MHC_QBL,,
24227961,24229227,1,,
31014738,31020038,HSCHR6_MHC_QBL,HCG22,
24233601,24234375,1,,
38292981,38293030,7,TRGJ2,
33284682,33285199,HSCHR6_MHC_DBB,MYL8P,
8132490,8145229,Y,RBMY2KP,
24275505,24275873,1,,
38295938,38295997,7,TRGJP2,
24334371,24335009,1,,
24367343,24413289,1,,
31100958,31101144,HSCHR6_MHC_QBL,POLR2LP,
38297480,38305279,7,TRGC1,
31133984,31138149,HSCHR6_MHC_QBL,PSORS1C3,
24382586,24410622,1,,
24393264,24410055,1,,
31157983,31164195,HSCHR6_MHC_QBL,HCG27,
38309092,38309141,7,TRGJ1,
24526730,24538183,1,,
8148239,8150250,Y,TSPY24P,
24620477,24648420,1,,
38313188,38313248,7,TRGJP,
8218972,8220184,Y,ZNF736P6Y,
31160394,31162153,HSCHR6_MHC_QBL,,
8231577,8232000,Y,MTND6P1,
24863138,24865371,1,,
31233164,31236336,HSCHR6_MHC_QBL,,
38315860,38315919,7,TRGJP1,
24890091,24890457,1,,
8232073,8233191,Y,MTCYBP1,
38331217,38331679,7,TRGV11,
25287836,25289588,1,,
31237899,31239098,HSCHR6_MHC_QBL,RPL3P2,
8239704,8240071,Y,MTND1P1,
25370198,25439611,1,,
38335364,38335834,7,TRGVB,
29963408,29964411,HSCHR6_MHC_COX,HCG4P3,
31245375,31246826,HSCHR6_MHC_QBL,WASF5P,
38339412,38339923,7,TRGV10,
25451544,25451945,1,,
8240282,8240751,Y,MTND2P3,
29989350,29990640,HSCHR6_MHC_COX,ETF1P1,
25534630,25535360,1,,
25579798,25594376,1,,
38356618,38358462,7,TRGV9,
31265712,31266446,HSCHR6_MHC_QBL,,
8281078,8282095,Y,TRIM60P3Y,
25620655,25621134,1,SDHDP6,
31324240,31324786,HSCHR6_MHC_QBL,DHFRP2,
38362047,38362331,7,TRGVA,
30062935,30072425,HSCHR6_MHC_COX,,
25725203,25725771,1,,
8286832,8287941,Y,ZNF736P10Y,
38369944,38370536,7,TRGV8,
25907969,25916847,1,,
31335308,31335905,HSCHR6_MHC_QBL,,
25971035,25985602,1,,
38374642,38375115,7,TRGV7,
26143240,26146263,1,,
30144480,30146300,HSCHR6_MHC_COX,PAIP1P1,
31338302,31338728,HSCHR6_MHC_QBL,,
38380301,38380599,7,TRGV6,
30191707,30283713,HSCHR6_MHC_COX,HCG17,
38384631,38385100,7,TRGV5P,
26186104,26189911,1,,
26213851,26214101,1,,
38388956,38389623,7,TRGV5,
8506335,8513440,Y,NCRNA00279,
26215461,26215600,1,,
31339952,31340166,HSCHR6_MHC_QBL,,
26496438,26498312,1,,
8551411,8551919,Y,TTTY18,
38393316,38394118,7,TRGV4,
31477555,31478366,HSCHR6_MHC_QBL,,
30195956,30199945,HSCHR6_MHC_COX,,
38398113,38398763,7,TRGV3,
8572513,8573324,Y,TTTY19,
26536232,26556331,1,,
31486175,31486754,HSCHR6_MHC_QBL,RPL15P4,
8651351,8685423,Y,TTTY11,
38402465,38403119,7,TRGV2,
30217266,30224548,HSCHR6_MHC_COX,,
38407187,38407770,7,TRGV1,
26575392,26580855,1,,
26653178,26653530,1,,
26781144,26781678,1,,
32858958,32859476,16,IGHV2OR16-5,
31500359,31501193,HSCHR6_MHC_QBL,,
26789247,26793773,1,,
26845845,26846741,1,,
31569105,31569378,HSCHR6_MHC_QBL,,
33647249,33647774,16,IGHV3OR16-8,
26966868,26967035,1,,
26974007,26974173,1,,
8769244,8771317,Y,,
27202624,27204736,1,,
31616346,31618738,HSCHR6_MHC_QBL,,
27218269,27219052,1,,
89156674,89157196,2,IGKC,
27306656,27307466,1,,
8839792,8842136,Y,,
27310119,27310515,1,,
30248390,30284729,HSCHR6_MHC_COX,HCG18,
27312388,27312831,1,,
89160080,89160117,2,IGKJ5,
27503242,27503768,1,,
27527325,27527964,1,,
27533421,27534287,1,,
89160398,89160434,2,IGKJ4,
27537755,27537975,1,,
27555597,27560843,1,,
27633257,27634278,1,,
89160733,89160770,2,IGKJ3,
27637731,27638329,1,,
27651820,27652287,1,,
89161037,89161074,2,IGKJ2,
27715972,27716649,1,,
89161398,89161435,2,IGKJ1,
27783709,27786093,1,,
31841932,31842225,HSCHR6_MHC_QBL,,
27852316,27857072,1,,
89184913,89185669,2,IGKV4-1,
8898635,8908029,Y,OFD1P3Y,
27975930,27976121,1,,
27986839,27989233,1,,
31892622,31899887,HSCHR6_MHC_QBL,,
89196748,89197300,2,IGKV5-2,
27995979,27996787,1,,
31958163,31961692,HSCHR6_MHC_QBL,,
9003694,9005311,Y,CDY3P,
28013160,28013980,1,CHMP1AP1,
32250800,32251759,HSCHR6_MHC_QBL,,
28065602,28065950,1,,
89214597,89214894,2,IGKV7-3,
28066465,28067140,1,,
9021303,9023412,Y,USP9YP22,
28265386,28286704,1,,
89231184,89231898,2,IGKV2-4,
32315749,32318924,HSCHR6_MHC_QBL,HCG23,
9027238,9042220,Y,USP9YP4,
28316647,28317035,1,,
89246819,89247475,2,IGKV1-5,
32385108,32398790,HSCHR6_MHC_QBL,,
28356225,28357423,1,,
89265781,89266286,2,IGKV1-6,
32456257,32470744,HSCHR6_MHC_QBL,HLA-DRB2,
28421582,28422933,1,,
9068524,9068856,Y,TCEB1P4,
89277987,89278600,2,IGKV3-7,
28436250,28436809,1,,
32555985,32556833,HSCHR6_MHC_QBL,,
28446958,28447832,1,,
9148739,9160483,Y,RBMY1A3P,
28780031,28780444,1,,
89291928,89292450,2,IGKV1-8,
28832492,28837404,1,SNHG3,
89309479,89310012,2,IGKV1-9,
28852835,28853741,1,PRDX3P2,
32555990,32558585,HSCHR6_MHC_QBL,,
28905050,28909495,1,SNHG12,
32602598,32603429,HSCHR6_MHC_QBL,MTCO3P1,
89319489,89320183,2,IGKV2-10,
30308999,30309133,HSCHR6_MHC_COX,,
89326668,89327228,2,IGKV3-11,
32614456,32615286,HSCHR6_MHC_QBL,,
89339721,89340242,2,IGKV1-12,
30316860,30317493,HSCHR6_MHC_COX,HCG19P,
30320704,30321872,HSCHR6_MHC_COX,,
89345492,89345963,2,IGKV1-13,
30372300,30376905,HSCHR6_MHC_COX,MICC,
89377506,89378280,2,IGKV2-14,
9167489,9172441,Y,TTTY20,
32627212,32628148,HSCHR6_MHC_QBL,,
89384673,89385283,2,IGKV3-15,
9185120,9193010,Y,FAM197Y8,
32740573,32742982,HSCHR6_MHC_QBL,,
89399352,89399854,2,IGKV1-16,
66669720,66670431,12,,
66957304,66957474,12,,
66957747,66962974,12,,
67285656,67462942,12,,
28969740,28975093,1,,
89416833,89417335,2,IGKV1-17,
67429288,67490186,12,,
29194087,29197779,1,,
29196995,29203848,1,,
89428207,89428966,2,IGKV2-18,
29308796,29309122,1,,
89434458,89434740,2,IGKV2-19,
29471006,29473506,1,,
67525347,67525985,12,,
30424154,30425681,HSCHR6_MHC_COX,TMPOP1,
67659622,67660746,12,,
89442057,89442643,2,IGKV3-20,
29479001,29479503,1,,
29550445,29551328,1,,
67745216,67745819,12,,
9205412,9235047,Y,FAM197Y7,
67818052,67818766,12,,
29656132,29676626,1,,
89459235,89459850,2,IGKV6-21,
67834778,67836339,12,,
29814705,29823405,1,,
67913609,67960906,12,,
30181698,30182394,1,,
89470259,89470696,2,IGKV1-22,
30486799,30510459,1,,
89471506,89472037,2,IGKV2-23,
67964977,67983767,12,,
30426522,30427891,HSCHR6_MHC_COX,,
30443578,30444228,HSCHR6_MHC_COX,RANP1,
30613110,30614454,1,,
89475812,89476644,2,IGKV2-24,
68052771,68064699,12,,
30699370,30699462,1,,
30473891,30476845,HSCHR6_MHC_COX,,
30882407,30884485,1,,
30591257,30591523,HSCHR6_MHC_COX,PTMAP1,
68102827,68123255,12,,
30888672,30893955,1,,
89491988,89492240,2,IGKV3-25,
30654450,30655179,HSCHR6_MHC_COX,RPL7P4,
31190940,31199674,1,,
68323015,68363797,12,,
89495584,89496317,2,IGKV2-26,
32792898,32792972,HSCHR6_MHC_QBL,,
32866827,32867341,HSCHR6_MHC_QBL,,
89512908,89513413,2,IGKV1-27,
30660710,30670826,HSCHR6_MHC_COX,,
9215731,9218480,Y,TSPY7P,
68371887,68372167,12,,
32976288,32976697,HSCHR6_MHC_QBL,RPL32P1,
68383225,68628466,12,,
89521179,89521942,2,IGKV2-28,
30724441,30749869,HSCHR6_MHC_COX,,
31283225,31288400,1,,
31297075,31306693,1,,
89533655,89534393,2,IGKV2-29,
89544264,89545079,2,IGKV2-30,
32988586,32994128,HSCHR6_MHC_QBL,,
68395177,68395328,12,,
31331005,31333101,1,,
9225731,9233636,Y,FAM197Y6,
68429547,68430633,12,,
31509616,31510090,1,,
89551697,89552222,2,IGKV3-31,
68537098,68537470,12,,
33000629,33004165,HSCHR6_MHC_QBL,COL11A2P,
31523719,31523881,1,,
89553057,89553501,2,IGKV1-32,
68726668,68845443,12,,
31567839,31568405,1,SEPW1P,
89567758,89568263,2,IGKV1-33,
30756280,30788292,HSCHR6_MHC_COX,NCRNA00243,
31580995,31581469,1,,
31736331,31736529,1,,
89575056,89575545,2,IGKV3-34,
9334896,9342768,Y,FAM197Y3,
31805914,31819646,1,,
89586446,89586730,2,IGKV1-35,
31960438,31961608,1,,
30797162,30805800,HSCHR6_MHC_COX,,
89594990,89595212,2,IGKV2-36,
68738444,68743739,12,,
31971841,31974167,1,,
68867521,68868682,12,,
33009286,33025634,HSCHR6_MHC_QBL,,
89597021,89597542,2,IGKV1-37,
68881467,68881643,12,,
31984036,31989846,1,,
68946775,68947662,12,,
89609655,89609901,2,IGKV2-38,
9324922,9347978,Y,TSPY6P,
69020657,69020969,12,,
32037186,32041174,1,,
89619383,89619904,2,IGKV1-39,
69036299,69036773,12,,
32121710,32125539,1,,
69068151,69081535,12,,
32254731,32256923,1,,
32307620,32321169,1,,
89629873,89630186,2,IGKV2-40,
32398621,32399576,1,,
32517892,32539075,1,,
89890601,89891303,2,IGKV2D-40,
69078375,69080085,12,,
32636334,32642169,1,,
69099414,69100846,12,KRT8P22,
30824631,30833593,HSCHR6_MHC_COX,TIGD1L,
69198791,69199259,12,,
32670370,32672415,1,,
89901292,89901791,2,IGKV1D-39,
30903456,30912338,HSCHR6_MHC_COX,,
69221898,69222333,12,,
30987507,30992304,HSCHR6_MHC_COX,,
69235726,69236164,12,,
33027765,33039900,HSCHR6_MHC_QBL,,
69816441,69816772,12,,
89911273,89911512,2,IGKV2D-38,
32697259,32707221,1,MTMR9LP,
31014486,31020156,HSCHR6_MHC_COX,HCG22,
72647293,72667264,12,,
89923550,89924026,2,IGKV1D-37,
33041365,33044349,HSCHR6_MHC_QBL,HCG24,
74042446,74042819,12,,
33112312,33112935,HSCHR6_MHC_QBL,,
89925832,89926057,2,IGKV2D-36,
75057580,75057921,12,,
75688836,75692274,12,,
31101019,31101205,HSCHR6_MHC_COX,POLR2LP,
89934312,89934582,2,IGKV1D-35,
33134418,33136320,HSCHR6_MHC_QBL,,
76993451,76994247,12,,
89945567,89946056,2,IGKV3D-34,
77054185,77054664,12,,
31134078,31138243,HSCHR6_MHC_COX,PSORS1C3,
77115314,77116066,12,,
80422673,80423411,12,,
89952792,89953355,2,IGKV1D-33,
9355208,9363096,Y,FAM197Y2P,
80496679,80497113,12,,
32786799,32788162,1,,
83545110,83545966,12,,
32814795,32816264,1,,
87563762,87564205,12,,
88338663,88344592,12,,
31158106,31164310,HSCHR6_MHC_COX,HCG27,
89967232,89967677,2,IGKV1D-32,
32816855,32818023,1,,
89893870,89896719,12,,
89968511,89969012,2,IGKV3D-31,
32817122,32819143,1,,
92562176,92562653,12,,
93477374,93477451,12,,
32826871,32829879,1,,
89975669,89976489,2,IGKV2D-30,
33146133,33151585,HSCHR6_MHC_QBL,HCG25,
94034598,94035148,12,,
94817520,94818744,12,RBMS2P1,
94942017,94943312,12,,
95519536,95520165,12,,
89986322,89987079,2,IGKV2D-29,
95861173,95861637,12,,
98984501,98984983,12,,
100402830,100403616,12,,
9385717,9388290,Y,TSPY15P,
89998789,89999558,2,IGKV2D-28,
